l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1300001,13,7,1,6.0,5401.74,0.05,0.16,N,F,2026-01-18,2026-01-18,2026-01-22,DELIVER IN PERSON,TRUCK,Delivered within January service window.
1300001,25,1,2,4.0,915.24,0.05,0.16,N,F,2026-01-19,2026-01-18,2026-01-23,NONE,AIR,Customer dock appointment confirmed before receipt.
1300001,24,8,3,5.0,1768.75,0.06,0.16,N,F,2026-01-17,2026-01-16,2026-01-19,TAKE BACK RETURN,SHIP,Cross-border paperwork pre-cleared for timely receipt.
1300001,33,3,4,11.0,8320.84,0.05,0.16,N,F,2026-01-16,2026-01-17,2026-01-22,DELIVER IN PERSON,AIR,Delivered within January service window.
1300001,1,2,5,17.0,8138.92,0.02,0.16,A,F,2026-01-19,2026-01-19,2026-01-23,DELIVER IN PERSON,TRUCK,Packed for standard replenishment and received on schedule.
1300002,26,6,1,15.0,5586.0,0.02,0.21,N,O,2026-02-03,2026-02-01,2026-02-09,NONE,TRUCK,Customer requested deferred receipt into next month.
1300002,10,11,2,10.0,2369.5,0.02,0.21,N,O,2026-01-31,2026-02-01,2026-02-14,NONE,MAIL,Receipt expected in early February after dispatch.
1300002,41,9,3,13.0,7967.05,0.05,0.21,N,O,2026-02-02,2026-01-31,2026-02-16,DELIVER IN PERSON,RAIL,Receipt expected in early February after dispatch.
1300002,2,5,4,4.0,1316.44,0.06,0.21,N,O,2026-02-03,2026-01-31,2026-02-10,DELIVER IN PERSON,SHIP,Line remains in transit at January month-end.
1300002,6,1,5,10.0,1375.4,0.03,0.21,N,F,2026-01-31,2026-01-31,2026-01-31,NONE,SHIP,Packed for standard replenishment and received on schedule.
1300003,3,14,1,8.0,626.0,0.0,0.21,N,O,2026-02-01,2026-01-31,2026-02-15,TAKE BACK RETURN,TRUCK,Line remains in transit at January month-end.
1300003,18,15,2,8.0,6210.0,0.02,0.21,N,F,2026-02-01,2026-02-01,2026-01-31,TAKE BACK RETURN,TRUCK,Customer dock appointment confirmed before receipt.
1300003,15,9,3,16.0,7601.12,0.05,0.21,N,O,2026-02-03,2026-02-01,2026-02-13,NONE,MAIL,Line remains in transit at January month-end.
1300003,23,6,4,8.0,3120.08,0.05,0.21,N,O,2026-02-02,2026-02-03,2026-02-12,DELIVER IN PERSON,AIR,Customer requested deferred receipt into next month.
1300003,25,1,5,6.0,1372.86,0.0,0.21,N,O,2026-02-03,2026-01-31,2026-02-14,DELIVER IN PERSON,RAIL,Ocean-leg delivery extends beyond January close.
1300004,38,2,1,29.0,1790.46,0.03,0.21,N,F,2026-01-26,2026-01-24,2026-01-31,NONE,MAIL,Cross-border paperwork pre-cleared for timely receipt.
1300004,14,9,2,7.0,3755.92,0.05,0.21,N,O,2026-01-24,2026-01-23,2026-02-03,DELIVER IN PERSON,TRUCK,Customer requested deferred receipt into next month.
1300004,8,7,3,3.0,2753.4,0.06,0.21,R,F,2026-01-27,2026-01-25,2026-01-30,NONE,RAIL,Delivered within January service window.
1300004,7,14,4,19.0,4037.88,0.02,0.21,A,F,2026-01-27,2026-01-25,2026-01-31,NONE,TRUCK,Delivered within January service window.
1300004,21,1,5,31.0,23498.62,0.06,0.21,N,F,2026-01-25,2026-01-24,2026-01-31,DELIVER IN PERSON,RAIL,Delivered within January service window.
1300005,41,9,1,15.0,9192.75,0.0,0.21,N,F,2026-01-15,2026-01-15,2026-01-17,TAKE BACK RETURN,SHIP,Delivered within January service window.
1300005,18,14,2,5.0,3881.25,0.0,0.21,N,F,2026-01-13,2026-01-14,2026-01-19,NONE,RAIL,Packed for standard replenishment and received on schedule.
1300005,9,8,3,35.0,16346.4,0.08,0.21,N,F,2026-01-14,2026-01-14,2026-01-18,TAKE BACK RETURN,RAIL,Delivered within January service window.
1300005,32,6,4,13.0,9196.59,0.03,0.21,R,F,2026-01-15,2026-01-12,2026-01-18,TAKE BACK RETURN,AIR,Customer dock appointment confirmed before receipt.
1300005,35,14,5,2.0,1778.6,0.02,0.21,N,F,2026-01-15,2026-01-12,2026-01-17,DELIVER IN PERSON,AIR,Delivered within January service window.
1300006,28,9,1,12.0,10691.52,0.03,0.21,N,O,2026-01-26,2026-01-24,2026-02-05,TAKE BACK RETURN,SHIP,Receipt expected in early February after dispatch.
1300006,10,6,2,6.0,1421.7,0.05,0.21,N,F,2026-01-24,2026-01-24,2026-01-29,NONE,TRUCK,Packed for standard replenishment and received on schedule.
1300006,1,8,3,19.0,9096.44,0.05,0.21,N,O,2026-01-24,2026-01-24,2026-02-02,TAKE BACK RETURN,RAIL,Line remains in transit at January month-end.
1300006,33,10,4,7.0,5295.08,0.02,0.21,N,F,2026-01-24,2026-01-23,2026-01-29,DELIVER IN PERSON,RAIL,Cross-border paperwork pre-cleared for timely receipt.
1300006,14,8,5,11.0,5902.16,0.02,0.21,N,F,2026-01-25,2026-01-24,2026-01-29,TAKE BACK RETURN,TRUCK,Customer dock appointment confirmed before receipt.
1300007,12,7,1,12.0,6432.24,0.0,0.18,N,F,2026-01-20,2026-01-18,2026-01-26,NONE,TRUCK,Delivered within January service window.
1300007,18,14,2,15.0,11643.75,0.02,0.18,N,F,2026-01-20,2026-01-20,2026-01-26,TAKE BACK RETURN,SHIP,Packed for standard replenishment and received on schedule.
1300007,32,6,3,7.0,4952.01,0.05,0.18,N,F,2026-01-19,2026-01-19,2026-01-27,NONE,MAIL,Delivered within January service window.
1300007,33,10,4,19.0,14372.36,0.02,0.18,N,F,2026-01-21,2026-01-18,2026-01-23,DELIVER IN PERSON,RAIL,Packed for standard replenishment and received on schedule.
1300007,7,11,5,16.0,3400.32,0.05,0.18,N,F,2026-01-18,2026-01-18,2026-01-25,NONE,RAIL,Packed for standard replenishment and received on schedule.
1300008,9,3,1,27.0,12610.08,0.05,0.21,N,F,2026-01-14,2026-01-13,2026-01-22,DELIVER IN PERSON,SHIP,Packed for standard replenishment and received on schedule.
1300008,16,7,2,2.0,1172.9,0.06,0.21,N,F,2026-01-15,2026-01-15,2026-01-21,DELIVER IN PERSON,AIR,Customer dock appointment confirmed before receipt.
1300008,36,13,3,2.0,55.06,0.02,0.21,N,F,2026-01-14,2026-01-14,2026-01-19,NONE,TRUCK,Packed for standard replenishment and received on schedule.
1300008,18,6,4,2.0,1552.5,0.02,0.21,A,F,2026-01-12,2026-01-12,2026-01-15,DELIVER IN PERSON,MAIL,Customer dock appointment confirmed before receipt.
